id,brand,model,color,registration_date,year,price_in_euro,power_kw,power_ps,transmission_type,fuel_type,fuel_consumption_l_100km,fuel_consumption_g_km,mileage_in_km,offer_description
241455,volkswagen,Volkswagen Golf,silver,03/2020,2020,10000-20000 EUR,100.0,136.0,Automatic,Electric,,0 g/km,59963.0,e- Navi LED PDC FrontAss LM KlimaA
149191,opel,Opel Astra,grey,05/2018,2018,10000-20000 EUR,90.0,122.0,Manual,Diesel,"3,6 l/100 km",96 g/km,21980.0,1.6 D Sports Tourer  mit  Video siehe Text ??
14754,audi,Audi A1,blue,07/2018,2018,10000-20000 EUR,70.0,95.0,Manual,Petrol,"4,4 l/100 km",97 g/km,39920.0,Sportback 1.0 TFSI sport S line-Ext. Navi Optik sc
29266,bmw,BMW 118,red,09/2011,2011,10000-20000 EUR,105.0,143.0,Manual,Diesel,"4,8 l/100 km",#NAME?,143000.0,118d Cabrio
78473,hyundai,Hyundai i30,silver,02/2015,2015,10000-20000 EUR,73.0,99.0,Manual,Petrol,"6,5 l/100 km",145 g/km,89000.0,cw 1.4 Trend
68063,ford,Ford EcoSport,silver,04/2018,2018,10000-20000 EUR,92.0,125.0,Manual,Petrol,"5,2 l/100 km",119 g/km,55893.0,ST-Line (CR6)
12574,audi,Audi A3,white,04/2016,2016,10000-20000 EUR,92.0,125.0,Manual,Petrol,"5,1 l/100 km",121 g/km,78773.0,Sportback Ambition*Pano*Xenon*Navi*PDC*8 Fach
179591,seat,SEAT Toledo,black,03/2017,2017,10000-20000 EUR,81.0,110.0,Manual,Petrol,,0 g/km,83360.0,1.2/Style+Paket/LED/PDC/SHZ/Teilleder
36264,bmw,BMW X1,grey,11/2017,2017,10000-20000 EUR,110.0,150.0,Automatic,Diesel,"4,7 l/100 km",124 g/km,192000.0,xDrive18d Sport Line
108534,mercedes-benz,Mercedes-Benz GLK 320,black,01/2009,2009,10000-20000 EUR,165.0,224.0,Automatic,Diesel,"7,9 l/100 km",209 g/km,141500.0,CDI 4-Matic Aut. Navi Klimaaut. Temp.
153416,opel,Opel Astra,grey,12/2020,2020,10000-20000 EUR,107.0,145.0,Manual,Petrol,"4,5 l/100 km",102 g/km,53789.0,K ST Elegance Navi/Kamera/Voll-LED/
196420,skoda,Skoda Octavia,red,04/2019,2019,10000-20000 EUR,85.0,116.0,Manual,Diesel,"4,1 l/100 km",106 g/km,93038.0,"Combi 1.6 TDI Soleil Navi, AHK"
54208,fiat,Fiat Talento,white,01/2017,2017,10000-20000 EUR,92.0,125.0,Manual,Diesel,"6,1 l/100 km",161 g/km,143000.0,L2H1 KLIMAANLAGE*PDC*EURO6*
94591,land-rover,Land Rover Discovery,black,04/2017,2017,10000-20000 EUR,110.0,150.0,Manual,Diesel,"5,1 l/100 km",135 g/km,132000.0,Sport Pure
231093,volkswagen,Volkswagen Golf,white,01/2015,2015,10000-20000 EUR,92.0,125.0,Automatic,Petrol,5 l/100 km,116 g/km,67400.0,Comfortline CUP 1.4 TSI DSG  **AUTOMATIK **
183156,seat,SEAT Arona,white,12/2019,2019,10000-20000 EUR,85.0,116.0,Manual,Petrol,"5,1 l/100 km",114 g/km,49600.0,1.0 TSI Xcellence*NAVI*SHZ*PDC*DAB+
68083,ford,Ford Focus,silver,07/2018,2018,10000-20000 EUR,74.0,101.0,Manual,Petrol,"4,8 l/100 km",109 g/km,84539.0,Turnier 1.0 EcoBoost S/S Business NAVI RFK
208576,toyota,Toyota Yaris,white,01/2019,2019,10000-20000 EUR,51.0,69.0,Manual,Petrol,"4,3 l/100 km",99 g/km,60000.0,Comfort 1.0 *Kamera*Bluetooth*CarPlay
30408,bmw,BMW 114,black,09/2012,2012,10000-20000 EUR,75.0,102.0,Manual,Petrol,"5,7 l/100 km",135 g/km,122500.0,i*PDC*Klima*18Zoll-ALU*
222972,volkswagen,Volkswagen Tiguan,black,01/2011,2011,10000-20000 EUR,125.0,170.0,Manual,Diesel,"6,6 l/100 km",165 g/km,185000.0,4M DYNAUDIO Leder Navi Pano Kamera AHK
54981,fiat,Fiat 500,white,03/2019,2019,10000-20000 EUR,51.0,69.0,Manual,Petrol,"5,3 l/100 km",123 g/km,38539.0,1.2 Pop-Star Start & Stop Klima PDC Tempomat
32095,bmw,BMW 218,brown,12/2014,2014,10000-20000 EUR,100.0,136.0,Manual,Petrol,"4,9 l/100 km",115 g/km,88384.0,TEMPOMAT KLIMA AHK PDC 2 HAND
160964,peugeot,Peugeot 108,red,03/2018,2018,10000-20000 EUR,51.0,69.0,Manual,Petrol,"4,1 l/100 km",#NAME?,22500.0,108 VTI 68 Style
56572,fiat,Fiat 500,red,09/2022,2022,10000-20000 EUR,52.0,71.0,Manual,Hybrid,"4,6 l/100 km",106 g/km,99.0,1.0 GSE HYBRID DOLCEVITA NAVI KLIMAAUTOMATIK
232266,volkswagen,Volkswagen Golf,red,10/2016,2016,10000-20000 EUR,110.0,150.0,Manual,Diesel,"4,9 l/100 km",127 g/km,140000.0,VII Alltrack 4M Pano ACC AHK NAVI R.kamera
175398,renault,Renault Twingo,white,09/2021,2021,10000-20000 EUR,60.0,82.0,Automatic,Electric,,190 km Reichweite,14000.0,Twingo Electric ZEN
60460,ford,Ford Ranger,grey,05/2012,2012,10000-20000 EUR,147.0,200.0,Manual,Diesel,"9,7 l/100 km",#NAME?,179000.0,Wildtrak
135707,nissan,Nissan Juke,black,07/2017,2017,10000-20000 EUR,85.0,116.0,Manual,Petrol,"5,7 l/100 km",128 g/km,75486.0,Acenta NAV KAMERA TEMPOMAT ALU BLUETOOTH DAB KLIMA
171620,renault,Renault Megane,black,06/2017,2017,10000-20000 EUR,74.0,101.0,Manual,Petrol,"5,4 l/100 km",120 g/km,49400.0,IV Grandtour Life
64761,ford,Ford Mondeo,white,06/2016,2016,10000-20000 EUR,149.0,203.0,Automatic,Petrol,"7,6 l/100 km",176 g/km,107000.0,Turnier Titanium/ GARANTIE / AUTOMATIK /
115496,mercedes-benz,Mercedes-Benz Sprinter,blue,04/2015,2015,10000-20000 EUR,95.0,129.0,Manual,Diesel,8 l/100 km,212 g/km,201268.0,II Kasten 214 CDI|AHK|Temp|1.Hd|
64224,ford,Ford Kuga,black,01/2016,2016,10000-20000 EUR,132.0,179.0,Automatic,Diesel,"5,4 l/100 km",140 g/km,134277.0,2.0 TDCi 4x4 Automatik SYNC Edition *AHK*
48771,dacia,Dacia Duster,grey,01/2018,2018,10000-20000 EUR,80.0,109.0,Automatic,Diesel,"4,4 l/100 km",115 g/km,90305.0,"1.5dci Black Shadow 4x2,Navi,Klima,PDC"
204126,smart,smart forTwo,black,09/2016,2016,10000-20000 EUR,66.0,90.0,Manual,Petrol,"4,2 l/100 km",97 g/km,58631.0,"coupe, PANO, NAVI, SITZHEIZG, aAC"
4997,audi,Audi A6,black,11/2010,2010,10000-20000 EUR,125.0,170.0,Automatic,Petrol,"8,5 l/100 km",204 g/km,89800.0,Avant 2.0 TFSI 4F Automatik Navi Xenon SD
89290,kia,Kia Carens,blue,03/2018,2018,10000-20000 EUR,99.0,135.0,Manual,Petrol,"6,5 l/100 km",150 g/km,44866.0,Dream Team 1.6 GDI Navi Sitzheizung
190970,skoda,Skoda Rapid/Spaceback,black,02/2014,2014,10000-20000 EUR,77.0,105.0,Manual,Petrol,5 l/100 km,119 g/km,78000.0,Active -  T®πv Neu - Klima -
172859,renault,Renault ZOE,white,11/2018,2018,10000-20000 EUR,80.0,109.0,Automatic,Electric,,0 g/km,17864.0,LIFE Z.E. 40 R 110 Batteriemiete/Kauf Navi
109678,mercedes-benz,Mercedes-Benz CL 63 AMG,black,10/2010,2010,10000-20000 EUR,420.0,571.0,Automatic,Petrol,"10,5 l/100 km",249 g/km,115100.0,W216 FACELIFT PERFORMANCE DRIVER PAKET
226907,volkswagen,Volkswagen Passat Variant,silver,09/2013,2013,10000-20000 EUR,103.0,140.0,Manual,Diesel,"4,6 l/100 km",120 g/km,115900.0,2.0 TDI BMT Comfortline *AHK*Navi*PDC*SHZ*Tempomat
89299,kia,Kia Niro,blue,05/2018,2018,10000-20000 EUR,104.0,141.0,Automatic,Hybrid,,#NAME?,132000.0,"Spirit 1,6 Plug-in Hybrid, ACC, R-KAM, LED, LEDER"
150089,opel,Opel Insignia,silver,05/2018,2018,10000-20000 EUR,125.0,170.0,Automatic,Diesel,"5,7 l/100 km",150 g/km,188533.0,B Sports Tourer Business Edition
151740,opel,Opel Adam,red,07/2019,2019,10000-20000 EUR,64.0,87.0,Manual,Petrol,- (l/100 km),148 g/km,28541.0,1.4 120 Jahre Teilleder IntelliLink Klima
30430,bmw,BMW 535,black,04/2012,2012,10000-20000 EUR,230.0,313.0,Automatic,Diesel,"5,7 l/100 km",149 g/km,200000.0,xDrive35i Aut.* M-Paket*306PS
154163,opel,Opel Crossland X,silver,01/2020,2020,10000-20000 EUR,61.0,83.0,Manual,Petrol,"6,6 l/100 km",148 g/km,12500.0,1.2  Selection Radio Klima ZV
178905,seat,SEAT Ibiza,green,02/2016,2016,10000-20000 EUR,81.0,110.0,Automatic,Petrol,"4,3 l/100 km",99 g/km,96751.0,ST Style AUTOMATIK Navi Freisprech LED
226213,volkswagen,Volkswagen Golf,red,05/2013,2013,10000-20000 EUR,77.0,105.0,Automatic,Petrol,"4,8 l/100 km",112 g/km,108987.0,Comfortline BMT VII Lim. DSG VW-Scheckheft/1.Hand
173210,renault,Renault ZOE,grey,12/2019,2019,10000-20000 EUR,51.0,69.0,Automatic,Electric,,316 km Reichweite,16189.0,Z.E. 40 R110 Life zzgl. Batteriemiete *DAB*LED*Nav
222181,volkswagen,Volkswagen Tiguan,blue,04/2011,2011,10000-20000 EUR,103.0,140.0,Automatic,Diesel,"7,1 l/100 km",#NAME?,150000.0,2.0 TDI DPF 4Motion Automatik Team
80414,hyundai,Hyundai i10,white,05/2018,2018,10000-20000 EUR,64.0,87.0,Manual,Petrol,"4,9 l/100 km",114 g/km,40000.0,YES! Plus KLIMAANLAGE NAVI SITZHEIZUNG PDC
147021,opel,Opel Zafira,blue,03/2017,2017,10000-20000 EUR,99.0,135.0,Manual,Diesel,"4,5 l/100 km",119 g/km,119000.0,C Active Start/Stop
88085,kia,Kia Venga,grey,07/2014,2014,10000-20000 EUR,92.0,125.0,Manual,Petrol,"6,4 l/100 km",148 g/km,69543.0,1.6 Platinum Edition *Pano*AHK*Navi*Kamera*
193975,skoda,Skoda Octavia,grey,12/2018,2018,10000-20000 EUR,85.0,116.0,Automatic,Diesel,"3,9 l/100 km",102 g/km,103200.0,1.6 TDI CLEVER BUSINESS AMUNDSEN LED
64791,ford,Ford Fiesta,white,05/2016,2016,10000-20000 EUR,74.0,101.0,Manual,Petrol,"4,5 l/100 km",105 g/km,79990.0,Celebration Navi+SHZ+R®πckfahrkam.+Bluetooth+USB
5053,audi,Audi A5,black,12/2010,2010,10000-20000 EUR,118.0,160.0,Automatic,Petrol,"7,5 l/100 km",#NAME?,115000.0,A5 Cabrio 1.8 TFSI multitronic
146634,opel,Opel Meriva,silver,06/2016,2016,10000-20000 EUR,88.0,120.0,Manual,Petrol,"5,9 l/100 km",140 g/km,51950.0,B drive/ Alu/ Klima/ Bluetooth/ nur 51tkm
171928,renault,Renault Clio,white,05/2017,2017,10000-20000 EUR,66.0,90.0,Manual,Petrol,"4,7 l/100 km",105 g/km,61870.0,IV Limited
153064,opel,Opel Grandland,blue,11/2020,2020,10000-20000 EUR,96.0,131.0,Manual,Petrol,"6,4 l/100 km",145 g/km,15000.0,1.2 Turbo 2020  RFK SHZ LHZ Teilleder
233356,volkswagen,Volkswagen Passat Variant,blue,11/2017,2017,10000-20000 EUR,206.0,280.0,Automatic,Petrol,"7,3 l/100 km",167 g/km,204000.0,Passat Var. Highline2.0TSI 4Motion DSG LED AHK
34605,bmw,BMW 225,grey,04/2016,2016,10000-20000 EUR,170.0,231.0,Automatic,Petrol,,#NAME?,63000.0,320i Touring Sport-Aut.
170481,renault,Renault Kadjar,black,07/2015,2015,10000-20000 EUR,96.0,131.0,Manual,Diesel,"4,9 l/100 km",129 g/km,80890.0,Bose Edition dCi 130 4x4 AHK
196374,skoda,Skoda Fabia,red,10/2019,2019,10000-20000 EUR,70.0,95.0,Manual,Petrol,"4,5 l/100 km",103 g/km,29900.0,Monte Carlo (NJ3)
133782,mitsubishi,Mitsubishi Eclipse Cross,bronze,09/2019,2019,10000-20000 EUR,120.0,163.0,Manual,Petrol,,0 g/km,19998.0,1.5 T-MIVEC 2WD Diamant
54571,fiat,Fiat 500C,white,08/2018,2018,10000-20000 EUR,51.0,69.0,Manual,Petrol,5 l/100 km,147 g/km,37000.0,1.2 8V Start&Stopp Lounge Navi PDC Klima
49915,dacia,Dacia Duster,black,11/2021,2021,10000-20000 EUR,85.0,116.0,Manual,Diesel,"4,3 l/100 km",112 g/km,29558.0,II 1.5l Blue dCi 115 Prestige *Allwetterreifen*DAB
231149,volkswagen,Volkswagen Polo,white,05/2015,2015,10000-20000 EUR,55.0,75.0,Manual,Petrol,"4,8 l/100 km",108 g/km,48000.0,1.0 Blue Motion Technology Lounge
89726,kia,Kia Carens,white,08/2018,2018,10000-20000 EUR,99.0,135.0,Manual,Petrol,"6,5 l/100 km",150 g/km,9000.0,1.6 GDI Edition/PDC/Klima/1.Hand
